player_id,player_name,player_abbr,game_id,week,recent_team,opponent_team,season,season_type,position,headshot_url,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,fantasy_points,fantasy_points_ppr,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected
00-0033293,Aaron Jones,A.Jones,2024_01_MIN_NYG,1,MIN,NYG,2024,REG,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim",14,94.0,1,0.0,0.0,6.0,4.944571,0,2,2,15.0,0,0.0,0.0,6.0,9.0,0.0,0.29790002,16.9,18.9,53.0,3.8,41.0,2.9,1.0,3.2064893617021277,0.0,3.2796153846153846,55.00613378905016,38.99386621094984,2.7852761579249887,0.6428571428571429
00-0033293,Aaron Jones,A.Jones,2024_03_HOU_MIN,3,MIN,HOU,2024,REG,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim",19,102.0,0,0.0,0.0,4.0,2.2149942,0,5,6,46.0,1,0.0,0.0,-2.0,47.0,2.0,4.610609,20.8,25.8,37.0,1.9,65.0,3.4,0.0,3.2255882352941185,47.368421052631575,2.5855294117647056,84.36058215291904,17.639417847080963,0.9283904130042613,0.47368421052631576
00-0033293,Aaron Jones,A.Jones,2024_04_MIN_GB,4,MIN,GB,2024,REG,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim",22,93.0,0,0.0,0.0,5.0,-1.8261492,0,4,5,46.0,0,0.0,0.0,20.0,44.0,2.0,-2.3863518,13.9,17.9,49.0,2.2,44.0,2.0,2.0,4.305483870967742,22.727272727272727,2.8139499999999993,90.41292752239677,-14.412927522396771,-0.6863298820188939,0.47619047619047616
00-0033293,Aaron Jones,A.Jones,2024_07_DET_MIN,7,MIN,DET,2024,REG,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim",14,93.0,1,0.0,0.0,3.0,1.3880063,0,3,3,23.0,0,0.0,0.0,1.0,22.0,2.0,2.2496295,17.6,20.6,81.0,5.8,12.0,0.9,0.0,3.2158064516129032,21.428571428571427,2.999142857142857,58.29487925279284,34.70512074720716,2.478937196229083,0.6428571428571429
00-0033293,Aaron Jones,A.Jones,2024_08_MIN_LA,8,MIN,LA,2024,REG,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim",19,58.0,0,0.0,0.0,2.0,-3.7607481,0,2,2,37.0,0,0.0,0.0,23.0,14.0,2.0,3.76092,9.5,11.5,34.0,1.8,24.0,1.3,1.0,4.982586206896552,15.789473684210526,2.6470588235294117,74.6143169244724,-16.614316924472405,-0.8744377328669687,0.3157894736842105
00-0033293,Aaron Jones,A.Jones,2024_09_IND_MIN,9,MIN,IND,2024,REG,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim",21,64.0,0,0.0,0.0,4.0,-4.933053,0,4,4,18.0,0,0.0,0.0,-11.0,29.0,1.0,0.017071025,8.2,12.2,24.0,1.1,40.0,1.9,1.0,5.5303125,28.57142857142857,2.7484736842105266,79.37692057799072,-18.376920577990717,-0.9188460288995358,0.25
00-0033293,Aaron Jones,A.Jones,2024_10_MIN_JAX,10,MIN,JAX,2024,REG,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim",17,88.0,0,0.0,0.0,3.0,2.7995055,0,2,3,13.0,0,0.0,0.0,19.0,17.0,0.0,-0.61258984,10.1,12.1,46.0,2.7,42.0,2.5,0.0,3.0393181818181816,17.647058823529413,2.3338823529411763,94.77301836349642,-12.77301836349642,-0.7983136477185262,0.3125
00-0033293,Aaron Jones,A.Jones,2024_11_MIN_TEN,11,MIN,TEN,2024,REG,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim",15,39.0,0,1.0,0.0,0.0,-4.812142,0,1,1,4.0,0,0.0,0.0,-3.0,7.0,0.0,-0.13655092,4.3,5.3,29.0,1.9,10.0,0.7,0.0,5.963846153846153,13.333333333333334,2.9570714285714286,58.72207962476932,-19.72207962476932,-1.3148053083179547,0.2
00-0033293,Aaron Jones,A.Jones,2024_12_MIN_CHI,12,MIN,CHI,2024,REG,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim",22,106.0,1,1.0,1.0,5.0,-6.861024,0,3,4,23.0,0,0.0,0.0,-6.0,22.0,1.0,1.3602378,16.9,19.9,46.0,2.1,60.0,2.7,0.0,3.5316037735849046,27.27272727272727,2.6382222222222222,82.79598522298063,23.204014777019367,1.0547279444099713,0.2727272727272727
00-0033293,Aaron Jones,A.Jones,2024_14_ATL_MIN,14,MIN,ATL,2024,REG,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim",13,73.0,1,0.0,0.0,3.0,1.5542339,0,2,2,11.0,0,0.0,0.0,-2.0,13.0,0.0,0.23643333,14.4,16.4,36.0,2.8,37.0,2.8,4.0,3.2075342465753423,15.384615384615385,3.0239166666666666,52.81810312848941,20.181896871510588,1.5524536055008145,0.6153846153846154
00-0033293,Aaron Jones,A.Jones,2024_15_CHI_MIN,15,MIN,CHI,2024,REG,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim",18,86.0,1,0.0,0.0,5.0,0.44855794,0,2,3,20.0,0,0.0,0.0,-4.0,23.0,1.0,2.6308656,16.6,18.6,55.0,3.1,31.0,1.7,0.0,3.653953488372094,5.555555555555555,2.6326666666666663,81.59285718528083,4.407142814719165,0.24484126748439808,0.3333333333333333
00-0033293,Aaron Jones,A.Jones,2024_16_MIN_SEA,16,MIN,SEA,2024,REG,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim",18,67.0,0,0.0,0.0,4.0,-3.3886998,0,3,5,26.0,0,0.0,0.0,-7.0,31.0,1.0,-1.6552707,9.3,12.3,34.0,1.9,33.0,1.8,0.0,4.339402985074627,5.555555555555555,2.683277777777778,86.69143309621417,-19.69143309621417,-1.0939685053452317,0.3333333333333333
00-0033293,Aaron Jones,A.Jones,2024_17_GB_MIN,17,MIN,GB,2024,REG,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim",12,47.0,0,0.0,0.0,2.0,-1.6192014,0,4,5,30.0,0,0.0,0.0,9.0,23.0,3.0,2.4839177,7.7,11.7,27.0,2.3,20.0,1.7,1.0,4.362127659574468,0.0,2.5368000000000004,54.17065648454148,-7.170656484541482,-0.5975547070451235,0.4166666666666667
00-0033293,Aaron Jones,A.Jones,2024_18_MIN_DET,18,MIN,DET,2024,REG,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim",10,45.0,0,0.0,0.0,1.0,0.5628361,0,5,6,30.0,0,0.0,0.0,0.0,35.0,2.0,0.44391236,7.5,12.5,22.0,2.2,23.0,2.3,0.0,3.955111111111111,10.0,3.1585000000000005,29.658834672606044,7.341165327393956,0.8156850363771062,0.5555555555555556
00-0033293,Aaron Jones,A.Jones,2024_19_MIN_LA,19,MIN,LA,2024,POST,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim",13,48.0,0,0.0,0.0,1.0,-3.0170686,0,3,6,12.0,0,0.0,0.0,-24.0,18.0,0.0,-2.359976,6.0,9.0,19.0,1.5,29.0,2.2,0.0,4.330625,15.384615384615385,2.7021666666666664,51.89736142852099,-3.8973614285209877,-0.2997970329631529,0.3076923076923077
00-0034972,Alexander Mattison,A.Mattison,2024_05_LV_DEN,5,LV,DEN,2024,REG,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uftc0gl0wzo5povcu6ih",15,38.0,0,0.0,0.0,1.0,-4.5111527,1,2,3,23.0,0,0.0,0.0,5.0,25.0,2.0,1.1623008,8.1,10.1,19.0,1.3,19.0,1.3,0.0,4.771315789473685,13.333333333333334,2.8075714285714284,52.293638432263066,-14.293638432263066,-0.9529092288175377,0.26666666666666666
00-0034972,Alexander Mattison,A.Mattison,2024_06_PIT_LV,6,LV,PIT,2024,REG,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uftc0gl0wzo5povcu6ih",14,33.0,1,0.0,0.0,5.0,-1.5029136,0,5,5,32.0,0,0.0,0.0,-1.0,33.0,1.0,0.4687303,12.5,17.5,23.0,1.6,10.0,0.7,0.0,5.466060606060605,21.428571428571427,2.4863636363636363,55.97038775098483,-22.970387750984827,-1.6407419822132019,0.14285714285714285
00-0034972,Alexander Mattison,A.Mattison,2024_07_LV_LA,7,LV,LA,2024,REG,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uftc0gl0wzo5povcu6ih",23,92.0,0,0.0,0.0,5.0,-1.5607785,0,3,3,31.0,0,0.0,0.0,-3.0,34.0,1.0,1.3539997,12.3,15.3,34.0,1.5,58.0,2.5,1.0,3.4696739130434793,13.043478260869565,2.7344761904761907,86.94005492711699,5.059945072883011,0.21999761186447872,0.43478260869565216
00-0034972,Alexander Mattison,A.Mattison,2024_08_KC_LV,8,LV,KC,2024,REG,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uftc0gl0wzo5povcu6ih",14,15.0,0,0.0,0.0,1.0,-8.179911,0,5,5,29.0,0,0.0,0.0,2.0,27.0,1.0,1.9858553,4.4,9.4,6.0,0.4,9.0,0.6,1.0,11.511333333333331,35.714285714285715,3.0243636363636366,41.23041021689212,-26.230410216892118,-1.8736007297780084,0.21428571428571427
00-0034972,Alexander Mattison,A.Mattison,2024_16_JAX_LV,16,LV,JAX,2024,REG,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uftc0gl0wzo5povcu6ih",12,27.0,1,0.0,0.0,1.0,-4.3734655,0,4,7,29.0,0,0.0,0.0,16.0,37.0,1.0,-2.6086838,11.6,15.6,10.0,0.8,17.0,1.4,0.0,5.444444444444445,16.666666666666664,2.7639,56.341854770155706,-29.341854770155706,-2.445154564179642,0.0
00-0034972,Alexander Mattison,A.Mattison,2024_17_LV_NO,17,LV,NO,2024,REG,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uftc0gl0wzo5povcu6ih",10,32.0,0,0.0,0.0,1.0,-3.9153762,0,1,3,6.0,0,0.0,0.0,-15.0,8.0,0.0,-1.4778458,3.8,4.8,15.0,1.5,17.0,1.7,0.0,4.6325,20.0,2.6754444444444445,36.67297467519494,-4.6729746751949435,-0.46729746751949436,0.4
